ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade
31,2023-10-30,4947,Headset,Áudio,3112.04,5
32,2023-10-04,4920,Monitor,Eletrônicos,2606.13,4
33,2023-11-05,3302,Headset,Áudio,3124.93,1
34,2023-08-02,3802,Webcam,Acessórios,283.08,3
35,2023-05-28,4247,Webcam,Acessórios,727.35,5
36,2023-10-13,1487,Headset,Áudio,991.4,1
37,2023-10-04,3706,Headset,Áudio,881.03,4
38,2023-06-30,1064,Teclado,Acessórios,1341.96,4
39,2023-12-26,2221,Teclado,Acessórios,1027.09,5
40,2023-02-23,2237,Mouse,Acessórios,2074.6,2
41,2023-07-11,3412,Mouse,Acessórios,202.3,4
42,2023-10-01,2271,Mouse,Acessórios,1958.15,3
43,2023-01-23,1349,Headset,Áudio,1843.43,1
44,2023-10-31,3724,Cadeira Gamer,Móveis,4599.34,2
45,2023-08-28,1225,Headset,Áudio,3714.83,5
46,2023-05-30,1235,Mouse,Acessórios,1875.8,2
47,2023-01-09,1521,Mouse,Acessórios,308.46,1
48,2023-04-08,4564,Mouse,Acessórios,2895.21,2
49,2023-01-20,3938,Cadeira Gamer,Móveis,550.33,2
50,2023-01-24,3914,Mouse,Acessórios,3116.31,2
51,2023-08-02,1054,Cadeira Gamer,Móveis,2236.69,1
52,2023-07-29,2397,Headset,Áudio,2070.34,4
53,2023-04-20,2476,Monitor,Eletrônicos,3275.53,5
54,2023-07-19,2470,Mouse,Acessórios,1275.31,2
55,2023-06-27,1038,Teclado,Acessórios,2564.61,2
56,2023-09-17,3188,Headset,Áudio,2349.01,2
57,2023-06-01,1454,Webcam,Acessórios,3155.76,3
58,2023-11-20,1714,Mouse,Acessórios,4110.32,3
59,2023-08-20,2530,Teclado,Acessórios,3049.28,4
60,2023-08-10,2809,Notebook,Eletrônicos,3660.91,2
61,2023-07-20,3216,Cadeira Gamer,Móveis,4021.98,1
62,2023-06-12,4062,Notebook,Eletrônicos,843.74,4
63,2023-09-27,3401,Notebook,Eletrônicos,1367.36,3
64,2023-12-01,2295,Webcam,Acessórios,1132.43,4
65,2023-04-04,1374,Mouse,Acessórios,961.23,2
66,2023-03-20,4397,Webcam,Acessórios,4661.31,1
67,2023-03-19,1976,Teclado,Acessórios,1997.38,1
68,2023-07-16,2505,Mouse,Acessórios,3168.21,5
69,2023-03-17,2697,Notebook,Eletrônicos,334.64,4
70,2023-05-03,1442,Teclado,Acessórios,1491.41,1
71,2023-09-04,3470,Teclado,Acessórios,1977.85,5
72,2023-04-11,4531,Cadeira Gamer,Móveis,2804.48,2
73,2023-05-16,3527,Cadeira Gamer,Móveis,4135.57,1
74,2023-08-04,1181,Cadeira Gamer,Móveis,4148.15,1
75,2023-01-03,3888,Webcam,Acessórios,3821.14,2
76,2023-09-13,1405,Headset,Áudio,2005.4,1
77,2023-12-30,1041,Teclado,Acessórios,757.54,1
78,2023-12-26,3116,Notebook,Eletrônicos,2325.47,4
79,2023-11-06,3859,Teclado,Acessórios,2419.35,5
80,2023-04-28,2206,Notebook,Eletrônicos,1952.19,4
81,2023-08-18,3210,Teclado,Acessórios,2856.22,4
82,2023-07-05,4211,Teclado,Acessórios,3509.21,5
83,2023-09-14,2475,Notebook,Eletrônicos,3977.8,4
84,2023-07-15,1822,Monitor,Eletrônicos,4481.46,5
85,2023-11-08,2681,Headset,Áudio,4865.94,5
86,2023-06-18,3888,Headset,Áudio,2000.36,1
87,2023-03-07,3682,Monitor,Eletrônicos,2518.76,4
88,2023-08-13,2549,Monitor,Eletrônicos,3214.14,2
89,2023-06-21,3845,Cadeira Gamer,Móveis,870.16,5
90,2023-06-07,4514,Notebook,Eletrônicos,1126.4,3
91,2023-05-28,4867,Teclado,Acessórios,1252.25,4
92,2023-06-22,2448,Notebook,Eletrônicos,4545.57,5
93,2023-08-05,2328,Teclado,Acessórios,4411.05,2
94,2023-10-01,4750,Headset,Áudio,4100.58,2
95,2023-12-07,4862,Teclado,Acessórios,338.36,2
96,2023-05-03,4374,Cadeira Gamer,Móveis,546.6,2
97,2023-05-04,4824,Monitor,Eletrônicos,4742.51,4
98,2023-10-23,4793,Headset,Áudio,4694.79,2
99,2023-03-20,4934,Mouse,Acessórios,1238.62,2
100,2023-08-16,4876,Notebook,Eletrônicos,921.5,4
101,2023-12-15,2821,Teclado,Acessórios,4208.81,2
102,2023-12-12,4337,Notebook,Eletrônicos,897.97,1
103,2023-07-14,2610,Headset,Áudio,2610.31,5
104,2023-12-07,1106,Cadeira Gamer,Móveis,3241.51,4
105,2023-05-25,1553,Webcam,Acessórios,3304.88,2
106,2023-02-20,2217,Headset,Áudio,3672.87,5
107,2023-01-07,3473,Mouse,Acessórios,4594.28,2
108,2023-04-03,1860,Notebook,Eletrônicos,106.45,2
109,2023-01-15,1850,Mouse,Acessórios,4775.86,4
110,2023-12-17,2666,Cadeira Gamer,Móveis,4508.23,2
111,2023-05-04,1862,Cadeira Gamer,Móveis,2517.44,4
112,2023-12-20,3265,Headset,Áudio,137.04,4
113,2023-12-10,4686,Webcam,Acessórios,4650.77,3
114,2023-12-14,4320,Mouse,Acessórios,4433.91,1
115,2023-03-10,3071,Monitor,Eletrônicos,2835.6,1
116,2023-03-20,2172,Monitor,Eletrônicos,2815.45,3
117,2023-03-11,1616,Teclado,Acessórios,3234.31,2
118,2023-08-02,1907,Mouse,Acessórios,4969.33,5
119,2023-02-23,4096,Notebook,Eletrônicos,1575.38,1
120,2023-09-06,3920,Notebook,Eletrônicos,1356.23,1
121,2023-02-22,2146,Teclado,Acessórios,403.11,3
122,2023-05-10,4039,Headset,Áudio,2180.87,4
123,2023-06-25,1535,Teclado,Acessórios,3857.27,4
124,2023-02-23,3117,Monitor,Eletrônicos,3972.8,5
125,2023-01-30,2897,Teclado,Acessórios,3809.41,4
126,2023-05-20,4074,Webcam,Acessórios,4044.87,4
127,2023-01-21,4457,Teclado,Acessórios,1683.45,4
128,2023-10-25,2278,Mouse,Acessórios,3708.14,1
129,2023-11-06,3282,Cadeira Gamer,Móveis,3223.3,5
130,2023-07-20,3218,Headset,Áudio,3922.32,4
131,2023-05-08,3707,Cadeira Gamer,Móveis,4336.32,2
132,2023-10-01,1734,Teclado,Acessórios,3489.17,2
133,2023-03-10,1660,Cadeira Gamer,Móveis,4849.07,2
134,2023-11-15,2279,Cadeira Gamer,Móveis,2481.56,2
135,2023-08-05,1011,Webcam,Acessórios,3288.02,3
136,2023-05-21,3878,Teclado,Acessórios,3155.27,3
137,2023-10-29,3778,Notebook,Eletrônicos,2480.94,1
138,2023-04-14,1578,Monitor,Eletrônicos,984.74,1
139,2023-11-08,3429,Notebook,Eletrônicos,3796.16,3
140,2023-07-11,2622,Headset,Áudio,2943.21,3
141,2023-12-06,1491,Webcam,Acessórios,4108.62,3
142,2023-08-06,3044,Monitor,Eletrônicos,2985.36,2
143,2023-10-04,1206,Cadeira Gamer,Móveis,328.95,3
144,2023-10-03,1552,Teclado,Acessórios,788.41,5
145,2023-02-19,2097,Monitor,Eletrônicos,1384.49,4
146,2023-02-25,1923,Teclado,Acessórios,4650.46,2
147,2023-06-20,1429,Notebook,Eletrônicos,3665.19,2
148,2023-11-03,3195,Mouse,Acessórios,3858.8,4
149,2023-04-21,1170,Webcam,Acessórios,1083.3,5
150,2023-05-30,3126,Webcam,Acessórios,1068.71,4
151,2023-02-19,2067,Headset,Áudio,2485.34,4
152,2023-06-02,1332,Cadeira Gamer,Móveis,4089.49,1
153,2023-09-06,1726,Headset,Áudio,4316.7,2
154,2023-06-18,2321,Webcam,Acessórios,1849.13,5
155,2023-09-11,3237,Notebook,Eletrônicos,2027.61,3
156,2023-02-13,3688,Notebook,Eletrônicos,640.35,4
157,2023-07-27,2294,Headset,Áudio,3204.81,3
158,2023-10-10,2679,Notebook,Eletrônicos,4806.52,3
159,2023-12-30,4248,Teclado,Acessórios,789.08,3
160,2023-10-13,3053,Webcam,Acessórios,1861.08,2
161,2023-04-06,2855,Cadeira Gamer,Móveis,1886.12,5
162,2023-06-09,4704,Mouse,Acessórios,2017.81,4
163,2023-07-26,3905,Monitor,Eletrônicos,1592.6,2
164,2023-07-19,4411,Notebook,Eletrônicos,329.78,3
165,2023-01-24,4861,Webcam,Acessórios,243.13,1
166,2023-05-07,4241,Webcam,Acessórios,530.54,4
167,2023-06-26,2221,Teclado,Acessórios,2447.16,3
168,2023-05-14,2229,Notebook,Eletrônicos,514.9,5
169,2023-06-05,3252,Notebook,Eletrônicos,2464.69,4
170,2023-07-24,2413,Headset,Áudio,775.25,2
171,2023-01-28,1762,Cadeira Gamer,Móveis,3178.03,1
172,2023-10-30,1115,Webcam,Acessórios,1073.44,4
173,2024-01-01,2065,Monitor,Eletrônicos,1297.19,1
174,2023-05-29,4320,Notebook,Eletrônicos,2839.26,1
175,2023-12-29,4165,Mouse,Acessórios,3317.84,4
176,2023-02-12,1115,Mouse,Acessórios,2688.79,4
177,2023-09-18,2048,Monitor,Eletrônicos,332.02,5
178,2023-04-07,4553,Headset,Áudio,2218.42,1
179,2023-07-23,2867,Mouse,Acessórios,510.81,5
180,2023-10-14,2809,Teclado,Acessórios,4973.83,1
181,2023-11-25,1737,Monitor,Eletrônicos,2740.97,1
182,2023-11-02,4872,Mouse,Acessórios,2550.0,4
183,2023-09-09,4159,Mouse,Acessórios,509.11,5
184,2023-11-27,1460,Monitor,Eletrônicos,4055.17,5
185,2023-08-31,4279,Headset,Áudio,4326.77,4
186,2023-02-27,3076,Notebook,Eletrônicos,3916.59,3
187,2023-11-01,3911,Monitor,Eletrônicos,3867.75,4
188,2023-03-26,2127,Mouse,Acessórios,3052.5,4
189,2023-10-16,3885,Teclado,Acessórios,3940.25,5
190,2023-08-08,1331,Webcam,Acessórios,4341.87,5
191,2023-10-08,4331,Headset,Áudio,1888.78,1
192,2023-12-29,4568,Mouse,Acessórios,4129.74,3
193,2023-05-15,1958,Teclado,Acessórios,2487.6,5
194,2023-01-06,1212,Webcam,Acessórios,4220.88,1
195,2024-01-01,4780,Cadeira Gamer,Móveis,4405.56,3
196,2023-06-05,4767,Teclado,Acessórios,2418.93,3
197,2023-01-30,4775,Monitor,Eletrônicos,1236.53,1
198,2023-02-21,1826,Monitor,Eletrônicos,3007.81,1
199,2023-10-02,2590,Notebook,Eletrônicos,4805.36,3
200,2023-12-25,4747,Webcam,Acessórios,3333.13,5
201,2023-02-02,2598,Cadeira Gamer,Móveis,581.42,1
202,2023-05-31,4496,Teclado,Acessórios,3030.9,4
203,2023-05-25,2897,Cadeira Gamer,Móveis,2574.7,3
204,2023-04-10,3789,Monitor,Eletrônicos,2066.52,5
205,2023-10-01,2406,Monitor,Eletrônicos,2291.33,4
206,2023-05-30,2989,Mouse,Acessórios,4956.07,4
207,2023-01-14,3927,Notebook,Eletrônicos,2103.6,3
208,2023-02-23,1092,Mouse,Acessórios,919.36,5
209,2023-02-14,2043,Webcam,Acessórios,2240.76,4
210,2023-11-30,3731,Notebook,Eletrônicos,1946.52,4
211,2023-10-02,2462,Webcam,Acessórios,3751.8,4
212,2023-10-23,3369,Cadeira Gamer,Móveis,323.67,2
213,2023-06-13,3371,Headset,Áudio,4171.79,2
214,2023-07-09,2717,Cadeira Gamer,Móveis,1949.22,2
215,2023-05-16,2732,Monitor,Eletrônicos,1288.45,1
216,2023-05-01,3234,Mouse,Acessórios,3032.11,3
217,2023-01-27,3783,Monitor,Eletrônicos,1490.64,3
218,2023-01-15,2100,Teclado,Acessórios,2844.52,5
219,2023-08-20,1297,Webcam,Acessórios,3564.82,5
220,2023-06-06,4958,Cadeira Gamer,Móveis,3234.04,1
221,2023-09-26,3793,Monitor,Eletrônicos,2478.53,5
222,2023-01-04,2984,Mouse,Acessórios,1633.05,2
223,2023-04-20,2769,Teclado,Acessórios,4764.02,3
224,2023-07-08,1643,Webcam,Acessórios,1488.08,3
225,2023-10-05,1420,Teclado,Acessórios,3747.38,5
226,2023-10-17,2025,Cadeira Gamer,Móveis,3124.66,5
227,2023-09-05,4213,Headset,Áudio,1341.1,3
228,2023-01-17,3011,Mouse,Acessórios,4936.65,5
229,2023-12-25,4688,Monitor,Eletrônicos,4281.73,1
230,2023-09-05,1372,Webcam,Acessórios,2148.17,2
231,2023-08-04,2570,Webcam,Acessórios,2386.41,2
232,2023-08-10,2842,Cadeira Gamer,Móveis,2144.35,2
233,2023-12-14,3960,Headset,Áudio,3648.68,2
234,2023-10-28,3050,Notebook,Eletrônicos,3174.03,3
235,2023-09-21,1757,Headset,Áudio,1694.35,4
236,2023-11-14,2490,Notebook,Eletrônicos,750.66,2
237,2023-05-04,3831,Teclado,Acessórios,4150.72,1
238,2023-06-25,4418,Monitor,Eletrônicos,1889.2,3
239,2023-09-30,2136,Webcam,Acessórios,1576.65,2
240,2023-07-26,2892,Teclado,Acessórios,479.38,5
241,2023-07-09,4435,Webcam,Acessórios,2279.69,2
242,2023-10-30,3739,Webcam,Acessórios,1738.17,4
243,2023-02-01,4338,Monitor,Eletrônicos,4051.81,1
244,2023-02-25,1446,Cadeira Gamer,Móveis,4857.21,2
245,2023-10-06,3492,Headset,Áudio,744.73,1
246,2023-05-13,4854,Monitor,Eletrônicos,4956.03,1
247,2023-06-16,1489,Teclado,Acessórios,1458.28,5
248,2023-12-10,4737,Webcam,Acessórios,2618.2,4
249,2023-05-21,2950,Webcam,Acessórios,4023.82,1
250,2023-08-22,1578,Cadeira Gamer,Móveis,4688.57,4
251,2023-10-14,1610,Headset,Áudio,73.74,5
252,2023-12-24,3333,Headset,Áudio,4549.92,4
253,2023-02-11,1444,Cadeira Gamer,Móveis,1114.28,5
254,2023-10-09,4071,Mouse,Acessórios,2054.5,4
255,2023-05-17,3452,Cadeira Gamer,Móveis,1268.43,3
256,2023-07-19,2887,Notebook,Eletrônicos,1072.03,5
257,2023-05-06,2252,Headset,Áudio,1828.15,4
258,2023-01-10,1913,Mouse,Acessórios,3403.35,3
259,2023-10-19,4926,Webcam,Acessórios,4604.6,1
260,2023-12-08,2326,Mouse,Acessórios,1908.81,5
261,2023-02-11,1073,Mouse,Acessórios,4975.59,5
262,2023-06-07,1855,Teclado,Acessórios,1688.36,2
263,2023-04-07,2305,Headset,Áudio,1896.68,2
264,2023-08-18,3913,Headset,Áudio,1198.7,3
265,2023-12-23,3238,Headset,Áudio,3499.07,3
266,2023-05-19,3963,Teclado,Acessórios,3687.76,2
267,2023-03-05,3500,Notebook,Eletrônicos,399.78,3
268,2023-04-27,3707,Webcam,Acessórios,3428.52,1
269,2023-04-29,4989,Webcam,Acessórios,1710.13,4
270,2023-06-23,2391,Mouse,Acessórios,1849.29,1
271,2023-05-31,3465,Teclado,Acessórios,844.73,2
272,2023-02-13,4518,Mouse,Acessórios,1968.39,4
273,2023-11-24,4242,Cadeira Gamer,Móveis,1405.53,2
274,2023-06-02,4258,Monitor,Eletrônicos,2761.89,5
275,2023-03-27,1015,Webcam,Acessórios,4034.77,3
276,2023-05-27,3616,Notebook,Eletrônicos,94.89,2
277,2023-10-23,2312,Monitor,Eletrônicos,4981.86,5
278,2023-05-28,4755,Teclado,Acessórios,109.33,5
279,2023-10-13,2204,Mouse,Acessórios,4551.78,5
280,2023-06-25,1209,Monitor,Eletrônicos,2385.19,3
281,2023-08-31,4176,Headset,Áudio,3665.97,3
282,2023-12-21,1889,Cadeira Gamer,Móveis,1683.18,4
283,2023-04-11,2523,Mouse,Acessórios,4933.95,2
284,2023-09-04,4729,Headset,Áudio,2691.41,3
285,2023-05-23,2517,Mouse,Acessórios,4524.9,3
286,2023-07-19,4539,Notebook,Eletrônicos,4839.69,3
287,2023-04-25,2289,Teclado,Acessórios,3689.92,4
288,2023-06-14,2514,Headset,Áudio,4168.18,2
289,2023-03-03,4904,Notebook,Eletrônicos,2372.61,1
290,2023-04-14,2585,Teclado,Acessórios,3858.13,1
291,2023-07-26,2555,Mouse,Acessórios,2641.73,3
292,2023-07-11,3429,Teclado,Acessórios,2209.28,3
293,2023-12-23,3396,Webcam,Acessórios,1458.74,3
294,2023-05-01,3681,Notebook,Eletrônicos,1101.36,4
295,2023-09-07,2587,Teclado,Acessórios,766.05,4
296,2023-08-30,4171,Headset,Áudio,3143.93,1
297,2023-10-22,2032,Webcam,Acessórios,1168.39,2
298,2023-04-13,3568,Webcam,Acessórios,605.1,3
299,2023-01-04,3086,Monitor,Eletrônicos,4488.62,2
300,2023-05-11,2036,Mouse,Acessórios,2868.1,1
301,2023-11-20,4570,Mouse,Acessórios,4810.1,5
302,2023-06-18,2923,Mouse,Acessórios,3402.92,4
303,2023-11-27,4245,Teclado,Acessórios,4240.35,5
304,2023-02-24,4620,Mouse,Acessórios,1755.69,1
305,2023-11-18,4108,Mouse,Acessórios,3483.07,5
306,2023-09-08,2032,Cadeira Gamer,Móveis,4864.46,2
307,2023-12-19,1886,Webcam,Acessórios,4460.45,4
308,2023-05-26,2236,Teclado,Acessórios,3285.56,1
309,2023-12-06,1120,Cadeira Gamer,Móveis,3005.89,5
310,2023-02-01,2203,Mouse,Acessórios,2124.95,4
311,2023-10-04,4008,Monitor,Eletrônicos,1868.95,4
312,2023-04-20,1174,Cadeira Gamer,Móveis,1001.78,2
313,2023-02-27,4755,Monitor,Eletrônicos,4089.44,1
314,2023-09-20,2411,Mouse,Acessórios,1180.97,2
315,2023-05-07,2652,Notebook,Eletrônicos,1975.89,4
316,2023-08-21,3556,Cadeira Gamer,Móveis,3933.48,5
317,2023-10-25,4576,Headset,Áudio,1744.85,3
318,2023-10-26,1072,Cadeira Gamer,Móveis,4485.71,2
319,2023-10-25,4912,Headset,Áudio,2308.45,5
320,2023-10-16,4231,Mouse,Acessórios,1597.28,1
321,2023-02-24,4874,Mouse,Acessórios,2065.8,2
322,2023-03-15,1168,Monitor,Eletrônicos,1133.7,4
323,2023-10-03,1922,Monitor,Eletrônicos,1497.74,4
324,2023-05-23,4479,Webcam,Acessórios,3255.01,3
325,2023-08-29,4989,Teclado,Acessórios,1510.91,1
326,2023-03-07,4647,Mouse,Acessórios,2158.19,1
327,2023-10-04,4045,Headset,Áudio,3487.62,3
328,2023-07-09,1603,Headset,Áudio,2973.37,5
329,2023-06-24,2012,Teclado,Acessórios,3464.33,3
330,2023-11-25,3937,Monitor,Eletrônicos,3598.58,5
331,2023-10-08,1001,Webcam,Acessórios,4051.53,3
332,2023-07-05,4308,Mouse,Acessórios,821.38,3
333,2023-10-27,1755,Webcam,Acessórios,617.85,4
334,2023-11-30,1582,Mouse,Acessórios,1929.82,5
335,2023-03-06,2608,Notebook,Eletrônicos,2752.45,2
336,2023-03-20,2167,Notebook,Eletrônicos,3801.2,5
337,2023-08-04,4455,Teclado,Acessórios,4437.15,5
338,2023-01-07,2881,Teclado,Acessórios,2930.26,5
339,2023-11-21,1329,Headset,Áudio,2090.39,5
340,2023-06-27,4208,Mouse,Acessórios,2344.75,3
341,2023-04-14,2696,Notebook,Eletrônicos,1372.98,2
342,2023-11-11,4097,Mouse,Acessórios,3284.21,3
343,2023-08-27,3224,Monitor,Eletrônicos,1420.42,5
344,2023-07-21,4772,Webcam,Acessórios,1453.91,2
345,2023-06-30,1681,Notebook,Eletrônicos,2043.61,3
346,2023-08-09,4544,Mouse,Acessórios,1073.75,5
347,2023-12-26,1405,Monitor,Eletrônicos,3648.27,4
348,2023-02-06,4179,Headset,Áudio,829.61,5
349,2023-07-27,2631,Headset,Áudio,2520.11,4
350,2023-02-20,4993,Teclado,Acessórios,3295.46,4
351,2023-07-09,3672,Headset,Áudio,1591.56,1
352,2023-12-27,3708,Webcam,Acessórios,384.2,3
353,2023-04-16,1532,Notebook,Eletrônicos,4583.86,5
354,2023-06-29,2226,Headset,Áudio,4370.85,3
355,2023-06-17,1956,Headset,Áudio,2811.82,4
356,2023-09-13,3718,Headset,Áudio,1215.65,5
357,2023-06-20,2842,Teclado,Acessórios,3652.62,1
358,2023-08-05,2025,Webcam,Acessórios,2027.11,3
359,2023-12-23,4132,Cadeira Gamer,Móveis,875.78,2
360,2023-01-05,3865,Webcam,Acessórios,3166.03,4
361,2023-11-27,1195,Mouse,Acessórios,122.79,4
362,2023-12-27,3272,Teclado,Acessórios,3677.62,4
363,2023-09-30,4695,Monitor,Eletrônicos,4969.33,3
364,2023-07-23,2348,Mouse,Acessórios,567.52,4
365,2023-12-07,2809,Notebook,Eletrônicos,4469.75,3
366,2023-12-21,3348,Webcam,Acessórios,1761.58,2
367,2023-12-29,3555,Notebook,Eletrônicos,1359.29,2
368,2023-06-01,3840,Mouse,Acessórios,4320.9,3
369,2023-05-24,2523,Webcam,Acessórios,3886.61,4
370,2023-07-18,4219,Teclado,Acessórios,3717.07,5
371,2023-12-16,4362,Mouse,Acessórios,3341.55,1
372,2023-10-15,1041,Teclado,Acessórios,68.35,5
373,2023-06-15,1279,Headset,Áudio,4174.69,2
374,2023-08-25,2162,Cadeira Gamer,Móveis,1396.21,4
375,2023-06-21,4790,Notebook,Eletrônicos,827.48,1
376,2023-12-17,2252,Headset,Áudio,3033.14,3
377,2023-08-08,2706,Headset,Áudio,2485.1,4
378,2023-12-07,3243,Mouse,Acessórios,687.4,2
379,2023-12-30,4322,Teclado,Acessórios,2744.91,2
380,2023-04-12,2135,Webcam,Acessórios,3726.4,4
381,2023-02-23,3722,Mouse,Acessórios,4449.57,4
382,2023-03-05,2356,Webcam,Acessórios,2527.54,3
383,2023-12-15,4643,Notebook,Eletrônicos,2559.87,3
384,2023-11-19,2148,Mouse,Acessórios,3105.09,5
385,2023-05-15,4866,Cadeira Gamer,Móveis,4812.25,2
386,2023-12-01,3707,Monitor,Eletrônicos,1595.06,5
387,2023-02-11,4200,Headset,Áudio,642.49,2
388,2023-02-12,3572,Webcam,Acessórios,2351.76,3
389,2023-03-01,2773,Headset,Áudio,2502.53,3
390,2023-09-13,2507,Webcam,Acessórios,1294.49,2
391,2023-12-08,4748,Monitor,Eletrônicos,3938.44,2
392,2023-09-30,2560,Monitor,Eletrônicos,3946.37,1
393,2023-01-12,1963,Cadeira Gamer,Móveis,2457.08,1
394,2023-02-27,3892,Mouse,Acessórios,3833.21,1
395,2023-06-03,4315,Cadeira Gamer,Móveis,883.81,1
396,2023-04-16,3331,Monitor,Eletrônicos,1429.62,5
397,2023-05-27,2586,Mouse,Acessórios,3854.86,5
398,2023-02-05,2147,Notebook,Eletrônicos,906.0,2
399,2023-03-31,3099,Monitor,Eletrônicos,3998.16,5
400,2023-08-22,3031,Teclado,Acessórios,3218.45,1
401,2023-04-15,3978,Mouse,Acessórios,4699.31,3
402,2023-12-01,1547,Webcam,Acessórios,2223.65,1
403,2023-10-19,2534,Monitor,Eletrônicos,1473.43,3
404,2023-07-04,4803,Mouse,Acessórios,3407.26,2
405,2023-05-02,1837,Webcam,Acessórios,2039.12,1
406,2023-07-06,3546,Webcam,Acessórios,2750.59,5
407,2023-12-31,1774,Headset,Áudio,2546.59,5
408,2023-10-31,2942,Teclado,Acessórios,1450.06,1
409,2023-10-20,2531,Mouse,Acessórios,3361.71,4
410,2023-01-15,1331,Mouse,Acessórios,3788.2,3
411,2023-03-21,2418,Teclado,Acessórios,4270.07,1
412,2023-07-24,3454,Webcam,Acessórios,2864.77,5
413,2023-07-03,4339,Mouse,Acessórios,2486.85,4
414,2023-08-09,4902,Monitor,Eletrônicos,672.47,4
415,2023-05-15,4025,Monitor,Eletrônicos,424.8,5
416,2023-11-28,1157,Cadeira Gamer,Móveis,939.52,5
417,2023-08-15,4681,Headset,Áudio,3618.07,3
418,2023-03-12,1216,Cadeira Gamer,Móveis,3679.47,3
419,2023-08-05,2649,Notebook,Eletrônicos,1506.25,5
420,2023-03-06,1851,Monitor,Eletrônicos,4572.81,2
421,2023-06-22,2874,Teclado,Acessórios,1271.68,3
422,2023-11-09,2871,Teclado,Acessórios,368.55,3
423,2023-03-12,1302,Headset,Áudio,406.25,4
424,2023-01-17,2176,Monitor,Eletrônicos,1431.6,1
425,2023-05-19,2974,Headset,Áudio,1741.01,3
426,2023-11-03,3818,Notebook,Eletrônicos,1908.64,1
427,2023-12-13,2709,Cadeira Gamer,Móveis,4103.19,2
428,2023-07-25,4069,Webcam,Acessórios,2271.32,5
429,2023-05-05,3287,Headset,Áudio,84.72,3
430,2023-02-08,1670,Webcam,Acessórios,1852.67,2
431,2023-09-02,2806,Webcam,Acessórios,3840.87,5
432,2023-02-26,1923,Teclado,Acessórios,2074.82,2
433,2023-11-22,4813,Headset,Áudio,4151.86,4
434,2023-04-03,4132,Cadeira Gamer,Móveis,1846.19,3
435,2023-07-26,4416,Teclado,Acessórios,1624.95,2
436,2023-01-19,3655,Webcam,Acessórios,1046.66,5
437,2023-12-05,4680,Notebook,Eletrônicos,3554.65,1
438,2023-07-06,3968,Monitor,Eletrônicos,1891.68,3
439,2023-08-04,4477,Mouse,Acessórios,4840.84,3
440,2023-04-12,2302,Cadeira Gamer,Móveis,1892.41,3
441,2023-12-28,4991,Headset,Áudio,3077.15,1
442,2023-06-13,2958,Mouse,Acessórios,4245.44,1
443,2023-04-19,4715,Cadeira Gamer,Móveis,3984.95,5
444,2023-10-13,2514,Headset,Áudio,2948.53,5
445,2023-11-14,1020,Notebook,Eletrônicos,1457.05,3
446,2023-11-04,4770,Monitor,Eletrônicos,1796.2,4
447,2023-09-07,2097,Mouse,Acessórios,4843.36,2
448,2023-12-29,3972,Webcam,Acessórios,3312.99,5
449,2023-07-07,4170,Headset,Áudio,1486.03,5
450,2023-12-05,3668,Teclado,Acessórios,4243.02,2
451,2023-03-09,3717,Mouse,Acessórios,4794.05,3
452,2023-10-15,1906,Webcam,Acessórios,2134.49,3
453,2023-01-29,3084,Monitor,Eletrônicos,494.13,1
454,2023-08-02,2646,Webcam,Acessórios,2232.81,2
455,2023-10-04,3024,Monitor,Eletrônicos,1787.57,3
