ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Valor_Total
43,2023-01-23,1349,Headset,Áudio,1843.43,1,1843.43
44,2023-10-31,3724,Cadeira Gamer,Móveis,4599.34,2,9198.68
45,2023-08-28,1225,Headset,Áudio,3714.83,5,18574.15
46,2023-05-30,1235,Mouse,Acessórios,1875.8,2,3751.6
47,2023-01-09,1521,Mouse,Acessórios,308.46,1,308.46
48,2023-04-08,4564,Mouse,Acessórios,2895.21,2,5790.42
49,2023-01-20,3938,Cadeira Gamer,Móveis,550.33,2,1100.66
50,2023-01-24,3914,Mouse,Acessórios,3116.31,2,6232.62
51,2023-08-02,1054,Cadeira Gamer,Móveis,2236.69,1,2236.69
52,2023-07-29,2397,Headset,Áudio,2070.34,4,8281.36
53,2023-04-20,2476,Monitor,Eletrônicos,3275.53,5,16377.650000000001
54,2023-07-19,2470,Mouse,Acessórios,1275.31,2,2550.62
55,2023-06-27,1038,Teclado,Acessórios,2564.61,2,5129.22
56,2023-09-17,3188,Headset,Áudio,2349.01,2,4698.02
57,2023-06-01,1454,Webcam,Acessórios,3155.76,3,9467.28
58,2023-11-20,1714,Mouse,Acessórios,4110.32,3,12330.96
59,2023-08-20,2530,Teclado,Acessórios,3049.28,4,12197.12
60,2023-08-10,2809,Notebook,Eletrônicos,3660.91,2,7321.82
61,2023-07-20,3216,Cadeira Gamer,Móveis,4021.98,1,4021.98
62,2023-06-12,4062,Notebook,Eletrônicos,843.74,4,3374.96
63,2023-09-27,3401,Notebook,Eletrônicos,1367.36,3,4102.08
64,2023-12-01,2295,Webcam,Acessórios,1132.43,4,4529.72
65,2023-04-04,1374,Mouse,Acessórios,961.23,2,1922.46
66,2023-03-20,4397,Webcam,Acessórios,4661.31,1,4661.31
67,2023-03-19,1976,Teclado,Acessórios,1997.38,1,1997.38
68,2023-07-16,2505,Mouse,Acessórios,3168.21,5,15841.05
69,2023-03-17,2697,Notebook,Eletrônicos,334.64,4,1338.56
70,2023-05-03,1442,Teclado,Acessórios,1491.41,1,1491.41
71,2023-09-04,3470,Teclado,Acessórios,1977.85,5,9889.25
72,2023-04-11,4531,Cadeira Gamer,Móveis,2804.48,2,5608.96
73,2023-05-16,3527,Cadeira Gamer,Móveis,4135.57,1,4135.57
74,2023-08-04,1181,Cadeira Gamer,Móveis,4148.15,1,4148.15
75,2023-01-03,3888,Webcam,Acessórios,3821.14,2,7642.28
76,2023-09-13,1405,Headset,Áudio,2005.4,1,2005.4
77,2023-12-30,1041,Teclado,Acessórios,757.54,1,757.54
78,2023-12-26,3116,Notebook,Eletrônicos,2325.47,4,9301.88
79,2023-11-06,3859,Teclado,Acessórios,2419.35,5,12096.75
80,2023-04-28,2206,Notebook,Eletrônicos,1952.19,4,7808.76
81,2023-08-18,3210,Teclado,Acessórios,2856.22,4,11424.88
82,2023-07-05,4211,Teclado,Acessórios,3509.21,5,17546.05
83,2023-09-14,2475,Notebook,Eletrônicos,3977.8,4,15911.2
84,2023-07-15,1822,Monitor,Eletrônicos,4481.46,5,22407.3
85,2023-11-08,2681,Headset,Áudio,4865.94,5,24329.699999999997
86,2023-06-18,3888,Headset,Áudio,2000.36,1,2000.36
87,2023-03-07,3682,Monitor,Eletrônicos,2518.76,4,10075.04
88,2023-08-13,2549,Monitor,Eletrônicos,3214.14,2,6428.28
89,2023-06-21,3845,Cadeira Gamer,Móveis,870.16,5,4350.8
90,2023-06-07,4514,Notebook,Eletrônicos,1126.4,3,3379.2000000000003
91,2023-05-28,4867,Teclado,Acessórios,1252.25,4,5009.0
92,2023-06-22,2448,Notebook,Eletrônicos,4545.57,5,22727.85
93,2023-08-05,2328,Teclado,Acessórios,4411.05,2,8822.1
94,2023-10-01,4750,Headset,Áudio,4100.58,2,8201.16
95,2023-12-07,4862,Teclado,Acessórios,338.36,2,676.72
96,2023-05-03,4374,Cadeira Gamer,Móveis,546.6,2,1093.2
97,2023-05-04,4824,Monitor,Eletrônicos,4742.51,4,18970.04
98,2023-10-23,4793,Headset,Áudio,4694.79,2,9389.58
99,2023-03-20,4934,Mouse,Acessórios,1238.62,2,2477.24
100,2023-08-16,4876,Notebook,Eletrônicos,921.5,4,3686.0
101,2023-12-15,2821,Teclado,Acessórios,4208.81,2,8417.62
102,2023-12-12,4337,Notebook,Eletrônicos,897.97,1,897.97
103,2023-07-14,2610,Headset,Áudio,2610.31,5,13051.55
104,2023-12-07,1106,Cadeira Gamer,Móveis,3241.51,4,12966.04
105,2023-05-25,1553,Webcam,Acessórios,3304.88,2,6609.76
106,2023-02-20,2217,Headset,Áudio,3672.87,5,18364.35
107,2023-01-07,3473,Mouse,Acessórios,4594.28,2,9188.56
108,2023-04-03,1860,Notebook,Eletrônicos,106.45,2,212.9
109,2023-01-15,1850,Mouse,Acessórios,4775.86,4,19103.44
110,2023-12-17,2666,Cadeira Gamer,Móveis,4508.23,2,9016.46
111,2023-05-04,1862,Cadeira Gamer,Móveis,2517.44,4,10069.76
112,2023-12-20,3265,Headset,Áudio,137.04,4,548.16
113,2023-12-10,4686,Webcam,Acessórios,4650.77,3,13952.310000000001
114,2023-12-14,4320,Mouse,Acessórios,4433.91,1,4433.91
115,2023-03-10,3071,Monitor,Eletrônicos,2835.6,1,2835.6
116,2023-03-20,2172,Monitor,Eletrônicos,2815.45,3,8446.349999999999
117,2023-03-11,1616,Teclado,Acessórios,3234.31,2,6468.62
118,2023-08-02,1907,Mouse,Acessórios,4969.33,5,24846.65
119,2023-02-23,4096,Notebook,Eletrônicos,1575.38,1,1575.38
120,2023-09-06,3920,Notebook,Eletrônicos,1356.23,1,1356.23
121,2023-02-22,2146,Teclado,Acessórios,403.11,3,1209.33
122,2023-05-10,4039,Headset,Áudio,2180.87,4,8723.48
123,2023-06-25,1535,Teclado,Acessórios,3857.27,4,15429.08
124,2023-02-23,3117,Monitor,Eletrônicos,3972.8,5,19864.0
125,2023-01-30,2897,Teclado,Acessórios,3809.41,4,15237.64
126,2023-05-20,4074,Webcam,Acessórios,4044.87,4,16179.48
127,2023-01-21,4457,Teclado,Acessórios,1683.45,4,6733.8
128,2023-10-25,2278,Mouse,Acessórios,3708.14,1,3708.14
129,2023-11-06,3282,Cadeira Gamer,Móveis,3223.3,5,16116.5
130,2023-07-20,3218,Headset,Áudio,3922.32,4,15689.28
131,2023-05-08,3707,Cadeira Gamer,Móveis,4336.32,2,8672.64
132,2023-10-01,1734,Teclado,Acessórios,3489.17,2,6978.34
133,2023-03-10,1660,Cadeira Gamer,Móveis,4849.07,2,9698.14
134,2023-11-15,2279,Cadeira Gamer,Móveis,2481.56,2,4963.12
135,2023-08-05,1011,Webcam,Acessórios,3288.02,3,9864.06
136,2023-05-21,3878,Teclado,Acessórios,3155.27,3,9465.81
137,2023-10-29,3778,Notebook,Eletrônicos,2480.94,1,2480.94
138,2023-04-14,1578,Monitor,Eletrônicos,984.74,1,984.74
139,2023-11-08,3429,Notebook,Eletrônicos,3796.16,3,11388.48
140,2023-07-11,2622,Headset,Áudio,2943.21,3,8829.630000000001
141,2023-12-06,1491,Webcam,Acessórios,4108.62,3,12325.86
142,2023-08-06,3044,Monitor,Eletrônicos,2985.36,2,5970.72
143,2023-10-04,1206,Cadeira Gamer,Móveis,328.95,3,986.8499999999999
144,2023-10-03,1552,Teclado,Acessórios,788.41,5,3942.0499999999997
145,2023-02-19,2097,Monitor,Eletrônicos,1384.49,4,5537.96
146,2023-02-25,1923,Teclado,Acessórios,4650.46,2,9300.92
147,2023-06-20,1429,Notebook,Eletrônicos,3665.19,2,7330.38
148,2023-11-03,3195,Mouse,Acessórios,3858.8,4,15435.2
149,2023-04-21,1170,Webcam,Acessórios,1083.3,5,5416.5
150,2023-05-30,3126,Webcam,Acessórios,1068.71,4,4274.84
151,2023-02-19,2067,Headset,Áudio,2485.34,4,9941.36
152,2023-06-02,1332,Cadeira Gamer,Móveis,4089.49,1,4089.49
153,2023-09-06,1726,Headset,Áudio,4316.7,2,8633.4
154,2023-06-18,2321,Webcam,Acessórios,1849.13,5,9245.650000000001
155,2023-09-11,3237,Notebook,Eletrônicos,2027.61,3,6082.83
156,2023-02-13,3688,Notebook,Eletrônicos,640.35,4,2561.4
157,2023-07-27,2294,Headset,Áudio,3204.81,3,9614.43
158,2023-10-10,2679,Notebook,Eletrônicos,4806.52,3,14419.560000000001
159,2023-12-30,4248,Teclado,Acessórios,789.08,3,2367.2400000000002
160,2023-10-13,3053,Webcam,Acessórios,1861.08,2,3722.16
161,2023-04-06,2855,Cadeira Gamer,Móveis,1886.12,5,9430.599999999999
162,2023-06-09,4704,Mouse,Acessórios,2017.81,4,8071.24
163,2023-07-26,3905,Monitor,Eletrônicos,1592.6,2,3185.2
164,2023-07-19,4411,Notebook,Eletrônicos,329.78,3,989.3399999999999
165,2023-01-24,4861,Webcam,Acessórios,243.13,1,243.13
166,2023-05-07,4241,Webcam,Acessórios,530.54,4,2122.16
167,2023-06-26,2221,Teclado,Acessórios,2447.16,3,7341.48
168,2023-05-14,2229,Notebook,Eletrônicos,514.9,5,2574.5
169,2023-06-05,3252,Notebook,Eletrônicos,2464.69,4,9858.76
170,2023-07-24,2413,Headset,Áudio,775.25,2,1550.5
171,2023-01-28,1762,Cadeira Gamer,Móveis,3178.03,1,3178.03
172,2023-10-30,1115,Webcam,Acessórios,1073.44,4,4293.76
173,2024-01-01,2065,Monitor,Eletrônicos,1297.19,1,1297.19
174,2023-05-29,4320,Notebook,Eletrônicos,2839.26,1,2839.26
175,2023-12-29,4165,Mouse,Acessórios,3317.84,4,13271.36
176,2023-02-12,1115,Mouse,Acessórios,2688.79,4,10755.16
177,2023-09-18,2048,Monitor,Eletrônicos,332.02,5,1660.1
178,2023-04-07,4553,Headset,Áudio,2218.42,1,2218.42
179,2023-07-23,2867,Mouse,Acessórios,510.81,5,2554.05
180,2023-10-14,2809,Teclado,Acessórios,4973.83,1,4973.83
181,2023-11-25,1737,Monitor,Eletrônicos,2740.97,1,2740.97
182,2023-11-02,4872,Mouse,Acessórios,2550.0,4,10200.0
183,2023-09-09,4159,Mouse,Acessórios,509.11,5,2545.55
184,2023-11-27,1460,Monitor,Eletrônicos,4055.17,5,20275.85
185,2023-08-31,4279,Headset,Áudio,4326.77,4,17307.08
186,2023-02-27,3076,Notebook,Eletrônicos,3916.59,3,11749.77
187,2023-11-01,3911,Monitor,Eletrônicos,3867.75,4,15471.0
188,2023-03-26,2127,Mouse,Acessórios,3052.5,4,12210.0
189,2023-10-16,3885,Teclado,Acessórios,3940.25,5,19701.25
190,2023-08-08,1331,Webcam,Acessórios,4341.87,5,21709.35
191,2023-10-08,4331,Headset,Áudio,1888.78,1,1888.78
192,2023-12-29,4568,Mouse,Acessórios,4129.74,3,12389.22
193,2023-05-15,1958,Teclado,Acessórios,2487.6,5,12438.0
194,2023-01-06,1212,Webcam,Acessórios,4220.88,1,4220.88
195,2024-01-01,4780,Cadeira Gamer,Móveis,4405.56,3,13216.68
196,2023-06-05,4767,Teclado,Acessórios,2418.93,3,7256.789999999999
197,2023-01-30,4775,Monitor,Eletrônicos,1236.53,1,1236.53
198,2023-02-21,1826,Monitor,Eletrônicos,3007.81,1,3007.81
199,2023-10-02,2590,Notebook,Eletrônicos,4805.36,3,14416.079999999998
200,2023-12-25,4747,Webcam,Acessórios,3333.13,5,16665.65
201,2023-02-02,2598,Cadeira Gamer,Móveis,581.42,1,581.42
202,2023-05-31,4496,Teclado,Acessórios,3030.9,4,12123.6
203,2023-05-25,2897,Cadeira Gamer,Móveis,2574.7,3,7724.099999999999
204,2023-04-10,3789,Monitor,Eletrônicos,2066.52,5,10332.6
205,2023-10-01,2406,Monitor,Eletrônicos,2291.33,4,9165.32
206,2023-05-30,2989,Mouse,Acessórios,4956.07,4,19824.28
207,2023-01-14,3927,Notebook,Eletrônicos,2103.6,3,6310.799999999999
208,2023-02-23,1092,Mouse,Acessórios,919.36,5,4596.8
209,2023-02-14,2043,Webcam,Acessórios,2240.76,4,8963.04
210,2023-11-30,3731,Notebook,Eletrônicos,1946.52,4,7786.08
211,2023-10-02,2462,Webcam,Acessórios,3751.8,4,15007.2
212,2023-10-23,3369,Cadeira Gamer,Móveis,323.67,2,647.34
213,2023-06-13,3371,Headset,Áudio,4171.79,2,8343.58
214,2023-07-09,2717,Cadeira Gamer,Móveis,1949.22,2,3898.44
215,2023-05-16,2732,Monitor,Eletrônicos,1288.45,1,1288.45
216,2023-05-01,3234,Mouse,Acessórios,3032.11,3,9096.33
217,2023-01-27,3783,Monitor,Eletrônicos,1490.64,3,4471.92
218,2023-01-15,2100,Teclado,Acessórios,2844.52,5,14222.6
219,2023-08-20,1297,Webcam,Acessórios,3564.82,5,17824.100000000002
220,2023-06-06,4958,Cadeira Gamer,Móveis,3234.04,1,3234.04
221,2023-09-26,3793,Monitor,Eletrônicos,2478.53,5,12392.650000000001
222,2023-01-04,2984,Mouse,Acessórios,1633.05,2,3266.1
223,2023-04-20,2769,Teclado,Acessórios,4764.02,3,14292.060000000001
224,2023-07-08,1643,Webcam,Acessórios,1488.08,3,4464.24
225,2023-10-05,1420,Teclado,Acessórios,3747.38,5,18736.9
226,2023-10-17,2025,Cadeira Gamer,Móveis,3124.66,5,15623.3
227,2023-09-05,4213,Headset,Áudio,1341.1,3,4023.2999999999997
228,2023-01-17,3011,Mouse,Acessórios,4936.65,5,24683.25
229,2023-12-25,4688,Monitor,Eletrônicos,4281.73,1,4281.73
230,2023-09-05,1372,Webcam,Acessórios,2148.17,2,4296.34
231,2023-08-04,2570,Webcam,Acessórios,2386.41,2,4772.82
232,2023-08-10,2842,Cadeira Gamer,Móveis,2144.35,2,4288.7
233,2023-12-14,3960,Headset,Áudio,3648.68,2,7297.36
234,2023-10-28,3050,Notebook,Eletrônicos,3174.03,3,9522.09
235,2023-09-21,1757,Headset,Áudio,1694.35,4,6777.4
236,2023-11-14,2490,Notebook,Eletrônicos,750.66,2,1501.32
237,2023-05-04,3831,Teclado,Acessórios,4150.72,1,4150.72
238,2023-06-25,4418,Monitor,Eletrônicos,1889.2,3,5667.6
239,2023-09-30,2136,Webcam,Acessórios,1576.65,2,3153.3
240,2023-07-26,2892,Teclado,Acessórios,479.38,5,2396.9
241,2023-07-09,4435,Webcam,Acessórios,2279.69,2,4559.38
242,2023-10-30,3739,Webcam,Acessórios,1738.17,4,6952.68
243,2023-02-01,4338,Monitor,Eletrônicos,4051.81,1,4051.81
244,2023-02-25,1446,Cadeira Gamer,Móveis,4857.21,2,9714.42
245,2023-10-06,3492,Headset,Áudio,744.73,1,744.73
246,2023-05-13,4854,Monitor,Eletrônicos,4956.03,1,4956.03
247,2023-06-16,1489,Teclado,Acessórios,1458.28,5,7291.4
248,2023-12-10,4737,Webcam,Acessórios,2618.2,4,10472.8
249,2023-05-21,2950,Webcam,Acessórios,4023.82,1,4023.82
250,2023-08-22,1578,Cadeira Gamer,Móveis,4688.57,4,18754.28
251,2023-10-14,1610,Headset,Áudio,73.74,5,368.7
252,2023-12-24,3333,Headset,Áudio,4549.92,4,18199.68
253,2023-02-11,1444,Cadeira Gamer,Móveis,1114.28,5,5571.4
254,2023-10-09,4071,Mouse,Acessórios,2054.5,4,8218.0
255,2023-05-17,3452,Cadeira Gamer,Móveis,1268.43,3,3805.29
256,2023-07-19,2887,Notebook,Eletrônicos,1072.03,5,5360.15
257,2023-05-06,2252,Headset,Áudio,1828.15,4,7312.6
258,2023-01-10,1913,Mouse,Acessórios,3403.35,3,10210.05
259,2023-10-19,4926,Webcam,Acessórios,4604.6,1,4604.6
260,2023-12-08,2326,Mouse,Acessórios,1908.81,5,9544.05
261,2023-02-11,1073,Mouse,Acessórios,4975.59,5,24877.95
262,2023-06-07,1855,Teclado,Acessórios,1688.36,2,3376.72
263,2023-04-07,2305,Headset,Áudio,1896.68,2,3793.36
264,2023-08-18,3913,Headset,Áudio,1198.7,3,3596.1000000000004
265,2023-12-23,3238,Headset,Áudio,3499.07,3,10497.210000000001
266,2023-05-19,3963,Teclado,Acessórios,3687.76,2,7375.52
267,2023-03-05,3500,Notebook,Eletrônicos,399.78,3,1199.34
268,2023-04-27,3707,Webcam,Acessórios,3428.52,1,3428.52
269,2023-04-29,4989,Webcam,Acessórios,1710.13,4,6840.52
270,2023-06-23,2391,Mouse,Acessórios,1849.29,1,1849.29
271,2023-05-31,3465,Teclado,Acessórios,844.73,2,1689.46
272,2023-02-13,4518,Mouse,Acessórios,1968.39,4,7873.56
273,2023-11-24,4242,Cadeira Gamer,Móveis,1405.53,2,2811.06
274,2023-06-02,4258,Monitor,Eletrônicos,2761.89,5,13809.449999999999
275,2023-03-27,1015,Webcam,Acessórios,4034.77,3,12104.31
276,2023-05-27,3616,Notebook,Eletrônicos,94.89,2,189.78
277,2023-10-23,2312,Monitor,Eletrônicos,4981.86,5,24909.3
278,2023-05-28,4755,Teclado,Acessórios,109.33,5,546.65
279,2023-10-13,2204,Mouse,Acessórios,4551.78,5,22758.899999999998
280,2023-06-25,1209,Monitor,Eletrônicos,2385.19,3,7155.57
281,2023-08-31,4176,Headset,Áudio,3665.97,3,10997.91
282,2023-12-21,1889,Cadeira Gamer,Móveis,1683.18,4,6732.72
283,2023-04-11,2523,Mouse,Acessórios,4933.95,2,9867.9
284,2023-09-04,4729,Headset,Áudio,2691.41,3,8074.23
285,2023-05-23,2517,Mouse,Acessórios,4524.9,3,13574.699999999999
286,2023-07-19,4539,Notebook,Eletrônicos,4839.69,3,14519.07
287,2023-04-25,2289,Teclado,Acessórios,3689.92,4,14759.68
288,2023-06-14,2514,Headset,Áudio,4168.18,2,8336.36
289,2023-03-03,4904,Notebook,Eletrônicos,2372.61,1,2372.61
290,2023-04-14,2585,Teclado,Acessórios,3858.13,1,3858.13
291,2023-07-26,2555,Mouse,Acessórios,2641.73,3,7925.1900000000005
292,2023-07-11,3429,Teclado,Acessórios,2209.28,3,6627.84
293,2023-12-23,3396,Webcam,Acessórios,1458.74,3,4376.22
294,2023-05-01,3681,Notebook,Eletrônicos,1101.36,4,4405.44
295,2023-09-07,2587,Teclado,Acessórios,766.05,4,3064.2
296,2023-08-30,4171,Headset,Áudio,3143.93,1,3143.93
297,2023-10-22,2032,Webcam,Acessórios,1168.39,2,2336.78
298,2023-04-13,3568,Webcam,Acessórios,605.1,3,1815.3000000000002
299,2023-01-04,3086,Monitor,Eletrônicos,4488.62,2,8977.24
300,2023-05-11,2036,Mouse,Acessórios,2868.1,1,2868.1
301,2023-11-20,4570,Mouse,Acessórios,4810.1,5,24050.5
302,2023-06-18,2923,Mouse,Acessórios,3402.92,4,13611.68
303,2023-11-27,4245,Teclado,Acessórios,4240.35,5,21201.75
304,2023-02-24,4620,Mouse,Acessórios,1755.69,1,1755.69
305,2023-11-18,4108,Mouse,Acessórios,3483.07,5,17415.350000000002
306,2023-09-08,2032,Cadeira Gamer,Móveis,4864.46,2,9728.92
307,2023-12-19,1886,Webcam,Acessórios,4460.45,4,17841.8
308,2023-05-26,2236,Teclado,Acessórios,3285.56,1,3285.56
309,2023-12-06,1120,Cadeira Gamer,Móveis,3005.89,5,15029.449999999999
310,2023-02-01,2203,Mouse,Acessórios,2124.95,4,8499.8
311,2023-10-04,4008,Monitor,Eletrônicos,1868.95,4,7475.8
312,2023-04-20,1174,Cadeira Gamer,Móveis,1001.78,2,2003.56
313,2023-02-27,4755,Monitor,Eletrônicos,4089.44,1,4089.44
314,2023-09-20,2411,Mouse,Acessórios,1180.97,2,2361.94
315,2023-05-07,2652,Notebook,Eletrônicos,1975.89,4,7903.56
316,2023-08-21,3556,Cadeira Gamer,Móveis,3933.48,5,19667.4
317,2023-10-25,4576,Headset,Áudio,1744.85,3,5234.549999999999
318,2023-10-26,1072,Cadeira Gamer,Móveis,4485.71,2,8971.42
319,2023-10-25,4912,Headset,Áudio,2308.45,5,11542.25
320,2023-10-16,4231,Mouse,Acessórios,1597.28,1,1597.28
321,2023-02-24,4874,Mouse,Acessórios,2065.8,2,4131.6
322,2023-03-15,1168,Monitor,Eletrônicos,1133.7,4,4534.8
323,2023-10-03,1922,Monitor,Eletrônicos,1497.74,4,5990.96
324,2023-05-23,4479,Webcam,Acessórios,3255.01,3,9765.03
325,2023-08-29,4989,Teclado,Acessórios,1510.91,1,1510.91
326,2023-03-07,4647,Mouse,Acessórios,2158.19,1,2158.19
327,2023-10-04,4045,Headset,Áudio,3487.62,3,10462.86
328,2023-07-09,1603,Headset,Áudio,2973.37,5,14866.849999999999
329,2023-06-24,2012,Teclado,Acessórios,3464.33,3,10392.99
330,2023-11-25,3937,Monitor,Eletrônicos,3598.58,5,17992.9
331,2023-10-08,1001,Webcam,Acessórios,4051.53,3,12154.59
332,2023-07-05,4308,Mouse,Acessórios,821.38,3,2464.14
333,2023-10-27,1755,Webcam,Acessórios,617.85,4,2471.4
334,2023-11-30,1582,Mouse,Acessórios,1929.82,5,9649.1
335,2023-03-06,2608,Notebook,Eletrônicos,2752.45,2,5504.9
336,2023-03-20,2167,Notebook,Eletrônicos,3801.2,5,19006.0
337,2023-08-04,4455,Teclado,Acessórios,4437.15,5,22185.75
338,2023-01-07,2881,Teclado,Acessórios,2930.26,5,14651.300000000001
339,2023-11-21,1329,Headset,Áudio,2090.39,5,10451.949999999999
340,2023-06-27,4208,Mouse,Acessórios,2344.75,3,7034.25
341,2023-04-14,2696,Notebook,Eletrônicos,1372.98,2,2745.96
342,2023-11-11,4097,Mouse,Acessórios,3284.21,3,9852.630000000001
343,2023-08-27,3224,Monitor,Eletrônicos,1420.42,5,7102.1
344,2023-07-21,4772,Webcam,Acessórios,1453.91,2,2907.82
345,2023-06-30,1681,Notebook,Eletrônicos,2043.61,3,6130.83
346,2023-08-09,4544,Mouse,Acessórios,1073.75,5,5368.75
347,2023-12-26,1405,Monitor,Eletrônicos,3648.27,4,14593.08
348,2023-02-06,4179,Headset,Áudio,829.61,5,4148.05
349,2023-07-27,2631,Headset,Áudio,2520.11,4,10080.44
350,2023-02-20,4993,Teclado,Acessórios,3295.46,4,13181.84
351,2023-07-09,3672,Headset,Áudio,1591.56,1,1591.56
352,2023-12-27,3708,Webcam,Acessórios,384.2,3,1152.6
353,2023-04-16,1532,Notebook,Eletrônicos,4583.86,5,22919.3
354,2023-06-29,2226,Headset,Áudio,4370.85,3,13112.550000000001
355,2023-06-17,1956,Headset,Áudio,2811.82,4,11247.28
356,2023-09-13,3718,Headset,Áudio,1215.65,5,6078.25
357,2023-06-20,2842,Teclado,Acessórios,3652.62,1,3652.62
358,2023-08-05,2025,Webcam,Acessórios,2027.11,3,6081.33
359,2023-12-23,4132,Cadeira Gamer,Móveis,875.78,2,1751.56
360,2023-01-05,3865,Webcam,Acessórios,3166.03,4,12664.12
361,2023-11-27,1195,Mouse,Acessórios,122.79,4,491.16
362,2023-12-27,3272,Teclado,Acessórios,3677.62,4,14710.48
363,2023-09-30,4695,Monitor,Eletrônicos,4969.33,3,14907.99
364,2023-07-23,2348,Mouse,Acessórios,567.52,4,2270.08
365,2023-12-07,2809,Notebook,Eletrônicos,4469.75,3,13409.25
366,2023-12-21,3348,Webcam,Acessórios,1761.58,2,3523.16
367,2023-12-29,3555,Notebook,Eletrônicos,1359.29,2,2718.58
368,2023-06-01,3840,Mouse,Acessórios,4320.9,3,12962.699999999999
369,2023-05-24,2523,Webcam,Acessórios,3886.61,4,15546.44
370,2023-07-18,4219,Teclado,Acessórios,3717.07,5,18585.350000000002
371,2023-12-16,4362,Mouse,Acessórios,3341.55,1,3341.55
372,2023-10-15,1041,Teclado,Acessórios,68.35,5,341.75
373,2023-06-15,1279,Headset,Áudio,4174.69,2,8349.38
374,2023-08-25,2162,Cadeira Gamer,Móveis,1396.21,4,5584.84
375,2023-06-21,4790,Notebook,Eletrônicos,827.48,1,827.48
376,2023-12-17,2252,Headset,Áudio,3033.14,3,9099.42
377,2023-08-08,2706,Headset,Áudio,2485.1,4,9940.4
378,2023-12-07,3243,Mouse,Acessórios,687.4,2,1374.8
379,2023-12-30,4322,Teclado,Acessórios,2744.91,2,5489.82
380,2023-04-12,2135,Webcam,Acessórios,3726.4,4,14905.6
381,2023-02-23,3722,Mouse,Acessórios,4449.57,4,17798.28
382,2023-03-05,2356,Webcam,Acessórios,2527.54,3,7582.62
383,2023-12-15,4643,Notebook,Eletrônicos,2559.87,3,7679.61
384,2023-11-19,2148,Mouse,Acessórios,3105.09,5,15525.45
385,2023-05-15,4866,Cadeira Gamer,Móveis,4812.25,2,9624.5
386,2023-12-01,3707,Monitor,Eletrônicos,1595.06,5,7975.299999999999
387,2023-02-11,4200,Headset,Áudio,642.49,2,1284.98
